Date,Income,Expense,Category,Mode of Payment,Description,Balance
2021-01-01,277.77,1020.71,Rent + Utilities,Amazon Pay,Monthly rent,12312.39
2021-01-01,277.77,10.25,Food,Cash,Breakfast at diner,13322.85
2021-01-01,277.77,49.98,Gas,Cash,Gas refill for car,13283.12
2021-01-01,277.77,225.36,Health,Google Pay,Doctor appointment,13107.74
2021-01-01,277.77,16.48,Subscriptions,Google Pay,Netflix subscription,13316.62
2021-01-01,277.77,186.89,Travel,Amazon Pay,Vacation flight tickets,13146.21
2021-01-01,277.77,23.93,Miscellaneous,Amazon Pay,Gift for friend,13309.17
2021-01-02,277.77,1023.84,Rent + Utilities,Credit Card,Utilities payment,11053.43
2021-01-02,277.77,56.06,Gas,Amazon Pay,Gas refill for car,12021.21
2021-01-02,277.77,44.45,Groceries,Google Pay,Restocking pantry items,12032.82
2021-01-02,277.77,15.75,Subscriptions,Cash,Netflix subscription,12061.52
2021-01-02,277.77,36.44,Miscellaneous,Cash,Bought a book,12040.83
2021-01-03,277.77,17.4,Food,Cash,Dinner from restaurant,11161.1
2021-01-03,277.77,48.12,Gas,Amazon Pay,Gas refill for car,11130.38
2021-01-03,277.77,350.65,Health,Cash,Doctor appointment,10827.85
2021-01-03,277.77,203.31,Travel,Google Pay,Hotel booking,10975.19
2021-01-04,277.77,14.72,Food,Cash,Breakfast at diner,10822.07
2021-01-04,277.77,489.28,Health,Amazon Pay,Hospital bill,10347.51
2021-01-04,277.77,14.28,Subscriptions,Amazon Pay,Spotify Premium,10822.51
2021-01-04,277.77,249.36,Travel,Google Pay,Hotel booking,10587.43
2021-01-05,277.77,49.13,Gas,Credit Card,Gas refill for car,10297.79
2021-01-05,277.77,25.43,Groceries,Credit Card,Restocking pantry items,10321.49
2021-01-05,277.77,39.25,Miscellaneous,Credit Card,Bought a book,10307.67
2021-01-06,277.77,1034.37,Rent + Utilities,Google Pay,Monthly rent,9476.51
2021-01-06,277.77,51.28,Groceries,Amazon Pay,Weekly grocery shopping,10459.6
2021-01-06,277.77,201.42,Health,Cash,Hospital bill,10309.46
2021-01-07,277.77,1034.88,Rent + Utilities,Credit Card,Monthly rent,8466.7
2021-01-07,277.77,76.87,Groceries,Credit Card,Weekly grocery shopping,9424.71
2021-01-07,277.77,18.74,Subscriptions,Google Pay,Amazon Prime,9482.84
2021-01-08,277.77,1032.3,Rent + Utilities,Amazon Pay,Monthly rent,7616.56
2021-01-08,277.77,12.52,Food,Amazon Pay,Takeout lunch,8636.34
2021-01-08,277.77,346.03,Health,Cash,Doctor appointment,8302.83
2021-01-08,277.77,80.33,Travel,Amazon Pay,Vacation flight tickets,8568.53
2021-01-09,277.77,1034.21,Rent + Utilities,Amazon Pay,Utilities payment,6421.24
2021-01-09,277.77,13.94,Food,Cash,Dinner from restaurant,7441.51
2021-01-09,277.77,158.78,Travel,Cash,Hotel booking,7296.67
2021-01-10,277.77,1029.18,Rent + Utilities,Amazon Pay,Monthly rent,5497.11
2021-01-10,277.77,56.32,Gas,Credit Card,Gas refill for car,6469.97
2021-01-10,277.77,66.54,Groceries,Cash,Restocking pantry items,6459.75
2021-01-10,277.77,17.15,Miscellaneous,Google Pay,Bought a book,6509.14
2021-01-11,277.77,15.85,Food,Amazon Pay,Dinner from restaurant,5619.02
2021-01-11,277.77,56.27,Gas,Amazon Pay,Gas refill for car,5578.6
2021-01-11,277.77,62.23,Groceries,Cash,Weekly grocery shopping,5572.64
2021-01-12,277.77,26.17,Groceries,Amazon Pay,Weekly grocery shopping,5752.12
2021-01-12,277.77,587.89,Health,Cash,Hospital bill,5190.4
2021-01-13,277.77,27.67,Subscriptions,Google Pay,Netflix subscription,5414.33
2021-01-13,277.77,299.11,Travel,Cash,Vacation flight tickets,5142.89
2021-01-14,277.77,1024.11,Rent + Utilities,Credit Card,Monthly rent,4368.88
2021-01-14,277.77,76.87,Groceries,Google Pay,Restocking pantry items,5316.12
2021-01-14,277.77,118.29,Health,Amazon Pay,Hospital bill,5274.7
2021-01-15,277.77,1034.95,Rent + Utilities,Amazon Pay,Monthly rent,3416.54
2021-01-15,277.77,14.48,Food,Credit Card,Breakfast at diner,4437.01
2021-01-15,277.77,55.78,Gas,Amazon Pay,Gas refill for car,4395.71
2021-01-15,277.77,25.33,Subscriptions,Amazon Pay,Spotify Premium,4426.16
2021-01-16,277.77,58.67,Gas,Credit Card,Gas refill for car,3540.05
2021-01-16,277.77,430.23,Health,Amazon Pay,Hospital bill,3168.49
2021-01-16,277.77,22.91,Miscellaneous,Amazon Pay,Bought a book,3575.81
2021-01-17,277.77,1026.88,Rent + Utilities,Credit Card,Utilities payment,2337.8
2021-01-17,277.77,55.17,Gas,Cash,Gas refill for car,3309.51
2021-01-17,277.77,153.55,Travel,Amazon Pay,Vacation flight tickets,3211.13
2021-01-17,277.77,48.96,Miscellaneous,Cash,Gift for friend,3315.72
2021-01-18,277.77,18.65,Food,Google Pay,Breakfast at diner,2339.24
2021-01-18,277.77,41.01,Gas,Cash,Gas refill for car,2316.88
2021-01-18,277.77,98.74,Groceries,Amazon Pay,Weekly grocery shopping,2259.15
2021-01-18,277.77,27.57,Subscriptions,Credit Card,Amazon Prime,2330.32
2021-01-18,277.77,206.03,Travel,Amazon Pay,Hotel booking,2151.86
2021-01-19,277.77,15.98,Subscriptions,Cash,Amazon Prime,2227.68
2021-01-19,277.77,76.58,Travel,Cash,Hotel booking,2167.08
2021-01-20,277.77,12.3,Food,Cash,Takeout lunch,2416.57
2021-01-20,277.77,515.37,Health,Google Pay,Doctor appointment,1913.5
2021-01-20,277.77,32.86,Miscellaneous,Amazon Pay,Bought a book,2396.01
2021-01-21,277.77,1029.38,Rent + Utilities,Credit Card,Utilities payment,1116.73
2021-01-21,277.77,18.28,Food,Google Pay,Takeout lunch,2127.83
2021-01-21,277.77,23.29,Subscriptions,Amazon Pay,Netflix subscription,2122.82
2021-01-21,277.77,88.82,Travel,Amazon Pay,Hotel booking,2057.29
2021-01-23,277.77,12.42,Miscellaneous,Amazon Pay,Bought a book,1529.46
2021-01-24,277.77,330.89,Health,Credit Card,Doctor appointment,1476.34
2021-01-24,277.77,21.59,Subscriptions,Cash,Spotify Premium,1785.64
2021-01-25,277.77,19.12,Food,Amazon Pay,Breakfast at diner,1713.4
2021-01-25,277.77,24.55,Groceries,Cash,Restocking pantry items,1707.97
2021-01-25,277.77,249.89,Health,Credit Card,Doctor appointment,1482.63
2021-01-25,277.77,27.0,Subscriptions,Cash,Amazon Prime,1705.52
2021-01-25,277.77,40.82,Miscellaneous,Google Pay,Gift for friend,1691.7
2021-01-26,277.77,64.26,Groceries,Credit Card,Weekly grocery shopping,1584.65
2021-01-27,277.77,1033.82,Rent + Utilities,Google Pay,Monthly rent,828.6
2021-01-27,277.77,51.16,Gas,Amazon Pay,Gas refill for car,1811.26
2021-01-27,277.77,37.31,Groceries,Cash,Restocking pantry items,1825.11
2021-01-28,277.77,30.6,Groceries,Credit Card,Restocking pantry items,987.3
2021-01-28,277.77,274.17,Health,Cash,Hospital bill,743.73
2021-01-28,277.77,14.09,Subscriptions,Google Pay,Spotify Premium,1003.81
2021-01-29,277.77,11.84,Food,Amazon Pay,Breakfast at diner,964.97
2021-01-29,277.77,37.18,Groceries,Credit Card,Weekly grocery shopping,939.63
2021-01-29,277.77,65.06,Travel,Google Pay,Vacation flight tickets,911.75
2021-01-30,277.77,1038.67,Rent + Utilities,Google Pay,Monthly rent,101.83
2021-01-30,277.77,75.2,Groceries,Cash,Restocking pantry items,1065.3
2021-01-30,277.77,15.27,Subscriptions,Amazon Pay,Amazon Prime,1125.23
2021-01-31,277.77,1036.08,Rent + Utilities,Cash,Utilities payment,-746.95
2021-01-31,277.77,15.62,Food,Credit Card,Takeout lunch,273.51
2021-02-01,277.77,1033.02,Rent + Utilities,Credit Card,Utilities payment,6815.28
2021-02-01,277.77,63.85,Groceries,Credit Card,Restocking pantry items,7784.45
2021-02-01,277.77,273.44,Travel,Google Pay,Hotel booking,7574.86
2021-02-02,277.77,1025.1,Rent + Utilities,Google Pay,Monthly rent,5730.66
2021-02-02,277.77,41.78,Groceries,Credit Card,Restocking pantry items,6713.98
2021-02-02,277.77,179.35,Travel,Cash,Hotel booking,6576.41
2021-02-03,277.77,1037.69,Rent + Utilities,Amazon Pay,Monthly rent,4749.61
2021-02-03,277.77,13.54,Food,Credit Card,Takeout lunch,5773.76
2021-02-03,277.77,56.62,Gas,Credit Card,Gas refill for car,5730.68
2021-02-03,277.77,164.36,Health,Google Pay,Hospital bill,5622.94
2021-02-03,277.77,14.59,Subscriptions,Credit Card,Netflix subscription,5772.71
2021-02-03,277.77,39.41,Miscellaneous,Credit Card,Gift for friend,5747.89
2021-02-04,277.77,1020.24,Rent + Utilities,Google Pay,Monthly rent,3718.62
2021-02-04,277.77,19.92,Food,Amazon Pay,Takeout lunch,4718.94
2021-02-04,277.77,40.12,Gas,Cash,Gas refill for car,4698.74
2021-02-04,277.77,70.98,Groceries,Cash,Restocking pantry items,4667.88
2021-02-04,277.77,439.09,Health,Cash,Hospital bill,4299.77
2021-02-04,277.77,151.75,Travel,Credit Card,Vacation flight tickets,4587.11
2021-02-05,277.77,19.85,Food,Credit Card,Breakfast at diner,3254.68
2021-02-05,277.77,54.67,Gas,Credit Card,Gas refill for car,3219.86
2021-02-05,277.77,29.9,Miscellaneous,Cash,Gift for friend,3244.63
2021-02-06,277.77,1024.49,Rent + Utilities,Cash,Utilities payment,2423.39
2021-02-06,277.77,95.89,Groceries,Amazon Pay,Weekly grocery shopping,3351.99
2021-02-07,277.77,45.49,Gas,Amazon Pay,Gas refill for car,2559.78
2021-02-07,277.77,29.22,Subscriptions,Credit Card,Amazon Prime,2576.05
2021-02-07,277.77,33.53,Miscellaneous,Cash,Bought a book,2571.74
2021-02-08,277.77,54.74,Gas,Credit Card,Gas refill for car,2720.06
2021-02-08,277.77,263.71,Travel,Credit Card,Vacation flight tickets,2511.09
2021-02-08,277.77,42.97,Miscellaneous,Amazon Pay,Bought a book,2731.83
2021-02-09,277.77,1038.78,Rent + Utilities,Google Pay,Monthly rent,1652.37
2021-02-09,277.77,45.39,Gas,Amazon Pay,Gas refill for car,2645.76
2021-02-09,277.77,568.53,Health,Google Pay,Doctor appointment,2122.62
2021-02-09,277.77,29.42,Subscriptions,Cash,Amazon Prime,2661.73
2021-02-09,277.77,47.36,Miscellaneous,Cash,Bought a book,2643.79
2021-02-10,277.77,1030.41,Rent + Utilities,Amazon Pay,Utilities payment,209.03
2021-02-10,277.77,21.52,Groceries,Google Pay,Restocking pantry items,1217.92
2021-02-10,277.77,17.09,Subscriptions,Amazon Pay,Amazon Prime,1222.35
2021-02-10,277.77,16.19,Miscellaneous,Amazon Pay,Bought a book,1223.25
2021-02-11,277.77,1033.3,Rent + Utilities,Google Pay,Monthly rent,-601.3
2021-02-11,277.77,11.09,Food,Credit Card,Takeout lunch,420.91
2021-02-11,277.77,321.28,Health,Google Pay,Doctor appointment,110.72
2021-02-11,277.77,150.21,Travel,Google Pay,Vacation flight tickets,281.79
2021-02-12,277.77,1023.65,Rent + Utilities,Amazon Pay,Utilities payment,-1829.76
2021-02-12,277.77,549.09,Health,Google Pay,Hospital bill,-1355.2
2021-02-12,277.77,172.78,Travel,Amazon Pay,Hotel booking,-978.89
2021-02-12,277.77,49.43,Miscellaneous,Credit Card,Gift for friend,-855.54
2021-02-13,277.77,15.1,Food,Google Pay,Takeout lunch,-2338.39
2021-02-13,277.77,87.64,Groceries,Credit Card,Restocking pantry items,-2410.93
2021-02-14,277.77,51.31,Gas,Credit Card,Gas refill for car,-2199.57
2021-02-14,277.77,15.15,Subscriptions,Google Pay,Netflix subscription,-2163.41
2021-02-14,277.77,98.97,Travel,Amazon Pay,Hotel booking,-2247.23
2021-02-14,277.77,31.04,Miscellaneous,Google Pay,Bought a book,-2179.3
2021-02-15,277.77,1032.63,Rent + Utilities,Google Pay,Utilities payment,-3099.59
2021-02-15,277.77,18.85,Food,Google Pay,Dinner from restaurant,-2085.81
2021-02-15,277.77,14.93,Subscriptions,Google Pay,Spotify Premium,-2081.89
2021-02-16,277.77,1032.41,Rent + Utilities,Cash,Monthly rent,-3888.01
2021-02-16,277.77,10.23,Food,Amazon Pay,Dinner from restaurant,-2865.83
